Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2004,254,37,414,176,2392,201,100,28,198,946,613,33,31,780,316,44,122,236,574,18,521,171,643,113,227,354,30,40,172,17,392,169,889,532,8,506,186,90,650,26,286,17,357,1364,46,16,390,190,68,154,11
2005,374,32,445,189,2503,173,105,37,195,883,564,24,35,770,356,40,101,190,450,19,552,178,629,115,214,402,18,44,206,19,417,144,874,585,12,590,187,80,756,34,314,18,431,1407,56,8,458,205,82,206,14
2006,382,36,533,205,2486,171,137,42,169,1129,605,21,35,780,361,55,125,173,555,23,546,188,721,126,231,369,33,51,226,13,427,134,922,539,14,560,210,88,741,27,362,30,419,1386,51,14,403,197,80,165,13
2007,412,43,548,198,2262,155,113,39,181,1202,720,24,49,752,350,39,106,206,625,20,554,187,661,116,202,367,27,71,193,12,381,183,805,584,17,529,224,76,725,19,364,31,405,1419,59,13,415,174,65,185,21
2008,351,27,462,165,2142,165,132,57,186,1168,640,26,23,790,322,77,113,201,544,31,493,166,554,110,236,456,40,69,165,14,376,161,836,599,11,547,215,87,705,31,307,37,412,1370,41,17,370,193,67,146,12
2009,322,22,380,179,1972,159,106,41,145,1017,566,23,24,773,312,38,125,184,529,26,440,173,623,74,194,387,32,41,156,11,319,198,781,489,12,527,234,88,664,32,305,30,468,1330,39,8,370,190,84,146,11
2010,275,31,408,134,1809,129,133,51,132,987,555,25,22,704,268,38,97,188,500,24,426,214,580,96,204,420,25,54,158,13,371,140,868,474,10,479,195,96,653,29,265,23,359,1249,53,7,376,154,58,155,8
2011,299,30,397,160,1792,155,129,48,108,984,549,20,35,781,306,44,111,151,506,26,399,184,617,75,232,366,29,68,139,16,380,158,769,498,24,500,212,84,639,20,320,20,380,1130,50,11,304,163,87,138,18
2012,342,30,358,174,1884,152,117,56,88,1009,583,21,30,770,307,49,85,201,489,26,373,121,701,99,213,390,29,52,124,15,388,116,683,479,25,478,220,91,707,36,332,23,400,1148,52,8,322,217,70,169,14
2013,346,34,355,158,1746,174,91,41,103,972,563,32,29,722,357,41,117,172,494,24,384,138,625,114,217,369,23,56,163,21,404,123,644,463,16,478,198,82,611,31,305,18,335,1140,51,10,320,167,62,163,17
2014,276,41,319,165,1699,151,86,54,105,1149,580,26,32,685,330,60,91,160,477,21,365,132,535,88,258,403,37,54,170,12,349,101,617,510,22,464,175,81,614,25,311,20,371,1184,67,10,338,174,74,165,16
