State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,,,,,,,,,,
Mississippi,7.6,8.5,8.1,6.6,6.3,6.2,6.0,5.7,5.3,5.1,5.4,5.5,6.6,6.3,6.2,7.5,6.5,6.1,6.6,9.5,10.4,10.0,9.0,8.6,7.6,6.5,,,,,,,,,,
Missouri,5.8,6.6,6.2,6.2,5.1,4.7,4.8,4.3,4.2,3.3,3.6,4.6,5.4,5.6,5.9,5.4,4.8,5.1,6.1,9.3,9.6,8.5,7.0,6.7,6.2,5.0,,,,,,,,,,
Montana,6.0,6.9,6.7,6.0,5.2,5.7,5.3,5.3,5.5,5.3,5.0,4.5,4.4,4.7,4.8,4.4,3.5,3.6,5.1,6.8,7.3,6.9,6.0,5.4,4.7,4.1,,,,,,,,,,
Nebraska,2.3,2.7,2.9,2.8,2.6,2.6,2.7,2.5,2.6,2.8,2.8,3.1,3.6,3.9,3.9,3.8,3.1,3.0,3.3,4.6,4.6,4.4,4.0,3.8,3.3,3.0,,,,,,,,,,
Nevada,4.7,5.8,6.7,6.8,6.2,5.6,5.0,4.4,4.2,4.0,4.2,5.2,5.6,5.1,4.3,4.1,4.0,4.5,6.7,11.3,13.5,13.0,11.2,9.6,7.9,6.7,,,,,,,,,,
New Hampshire,5.7,7.3,7.3,6.1,4.7,4.0,3.8,3.3,2.8,2.7,2.7,3.4,4.5,4.3,3.8,3.6,3.4,3.5,3.9,6.2,5.8,5.4,5.5,5.1,4.3,3.4,,,,,,,,,,
New Jersey,5.0,6.7,8.4,7.6,6.8,6.4,6.1,5.3,4.6,4.5,3.7,4.3,5.8,5.8,4.8,4.5,4.7,4.3,5.3,9.1,9.5,9.3,9.3,8.2,6.7,5.6,,,,,,,,,,
New Mexico,6.6,7.1,7.2,7.0,6.5,6.6,7.2,6.3,6.1,5.6,4.9,4.9,5.5,5.9,5.5,5.1,4.2,3.8,4.5,7.5,8.1,7.5,7.1,7.0,6.7,6.6,,,,,,,,,,
New York,5.3,7.2,8.6,7.9,6.9,6.3,6.2,6.4,5.6,5.2,4.5,4.8,6.1,6.4,5.8,5.0,4.5,4.6,5.4,8.3,8.6,8.3,8.5,7.7,6.3,5.3,,,,,,,,,,
North Carolina,4.1,5.8,6.0,5.0,4.4,4.3,4.3,3.7,3.5,3.2,3.7,5.5,6.6,6.4,5.5,5.2,4.7,4.7,6.1,10.6,10.9,10.3,9.3,7.9,6.3,5.7,,,,,,,,,,
North Dakota,4.0,4.4,4.7,4.3,3.7,3.2,2.9,2.7,2.9,3.3,3.0,2.9,3.7,3.7,3.4,3.4,3.2,3.1,3.2,4.1,3.8,3.5,3.1,2.9,2.7,2.7,,,,,,,,,,
Ohio,5.6,6.5,7.4,6.6,5.6,4.8,5.0,4.6,4.3,4.3,4.0,4.3,5.7,6.2,6.3,5.9,5.4,5.6,6.4,10.3,10.3,8.8,7.4,7.5,5.8,4.9,,,,,,,,,,
Oklahoma,5.7,6.3,6.0,5.9,5.6,4.6,4.1,4.1,4.3,3.5,3.0,3.7,4.7,5.5,4.9,4.5,4.0,4.1,3.7,6.4,6.8,5.9,5.3,5.3,4.5,4.2,,,,,,,,,,
Oregon,5.5,6.4,7.4,7.0,5.4,4.9,5.7,5.7,5.7,5.5,5.1,6.4,7.5,8.1,7.3,6.2,5.3,5.2,6.5,11.3,10.6,9.5,8.8,7.9,6.8,5.7,,,,,,,,,,
Pennsylvania,5.5,7.0,7.6,7.0,6.3,5.9,5.4,5.1,4.6,4.4,4.1,4.8,5.6,5.7,5.4,5.0,4.6,4.4,5.3,8.0,8.5,7.9,7.8,7.4,5.9,5.1,,,,,,,,,,
Rhode Island,6.3,8.6,8.9,7.7,6.9,6.3,5.4,5.1,4.6,4.2,4.1,4.6,5.0,5.3,5.2,5.0,4.9,5.2,7.8,11.0,11.2,11.0,10.4,9.3,7.7,6.0,,,,,,,,,,
South Carolina,4.8,6.1,6.7,7.3,6.2,5.2,5.8,4.6,3.8,4.3,3.8,5.2,5.8,6.9,6.8,6.7,6.4,5.7,6.8,11.2,11.2,10.6,9.2,7.6,6.4,6.0,,,,,,,,,,
South Dakota,3.8,3.5,3.3,3.4,3.3,3.0,3.2,2.9,2.8,2.7,2.5,3.1,3.2,3.5,3.7,3.8,3.1,2.8,3.1,4.9,5.0,4.7,4.3,3.8,3.4,3.1,,,,,,,,,,
Tennessee,5.3,6.8,6.5,5.8,4.8,5.2,5.2,5.3,4.3,4.0,3.9,4.6,5.2,5.6,5.3,5.6,5.2,4.7,6.6,10.5,9.7,9.0,7.8,7.8,6.5,5.8,,,,,,,,,,
Texas,6.3,6.9,7.6,7.2,6.5,6.1,5.7,5.3,4.9,4.7,4.3,5.0,6.4,6.7,5.9,5.4,4.9,4.3,4.8,7.6,8.1,7.8,6.7,6.2,5.1,4.5,,,,,,,,,,
Utah,4.4,4.7,4.8,4.1,3.8,3.5,3.4,3.2,3.6,3.5,3.3,4.4,5.8,5.6,5.0,4.1,3.0,2.6,3.6,7.3,7.8,6.7,5.4,4.6,3.8,3.5,,,,,,,,,,
Vermont,5.0,6.6,6.1,5.2,4.6,4.3,4.3,3.9,3.4,3.0,2.8,3.3,4.0,4.3,3.7,3.5,3.7,4.0,4.7,6.6,6.1,5.5,5.0,4.4,4.0,3.7,,,,,,,,,,
Virginia,4.5,5.9,6.3,5.2,4.9,4.5,4.4,3.8,2.9,2.7,2.3,3.2,4.2,4.1,3.8,3.6,3.1,3.0,3.9,6.7,7.1,6.6,6.0,5.7,5.2,4.4,,,,,,,,,,
Washington,5.2,6.3,7.3,7.3,6.6,6.4,6.1,4.9,4.8,4.9,5.2,6.3,7.4,7.4,6.3,5.6,5.0,4.7,5.4,9.2,10.0,9.3,8.1,7.0,6.1,5.7,,,,,,,,,,
West Virginia,8.5,10.6,11.3,10.6,8.8,7.9,7.5,6.9,6.6,6.5,5.5,5.0,5.9,6.0,5.3,5.1,4.9,4.6,4.3,7.7,8.7,8.1,7.5,6.7,6.6,6.7,,,,,,,,,,
Wisconsin,4.4,5.5,5.1,4.8,4.5,3.8,3.6,3.6,3.4,3.1,3.5,4.5,5.4,5.7,5.0,4.7,4.7,4.9,4.9,8.6,8.7,7.8,7.0,6.7,5.4,4.6,,,,,,,,,,
Wyoming,5.3,5.2,5.6,5.3,5.0,4.8,4.9,4.8,4.7,4.6,3.9,3.8,4.0,4.3,3.8,3.6,3.2,2.8,3.1,6.3,6.4,5.8,5.3,4.7,4.1,4.2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
